title,description,content,url,image,publishedAt,source_name,source_url,language,country,text,predicted_labels,top_3_labels
"Today's NYT Connections: Sports Edition Hints, Answers for Oct. 28 #400","Here's today's Connections: Sports Edition answer and hints for groups. These clues will help you solve The New York Times' popular puzzle game, Connections: Sports Edition, every day.","Looking for the most recent regular Connections answers? Click here for today's Connections hints, as well as our daily answers and hints for The New York Times Mini Crossword, Wordle and Strands puzzles.
Today's Connections: Sports Edition is an all... [1728 chars]",https://www.cnet.com/tech/gaming/todays-nyt-connections-sports-edition-hints-and-answers-for-oct-28-400/,https://www.cnet.com/a/img/resize/b6a176556f33d8a7a6d33d6575c828a27a02cb83/hub/2024/10/16/c34cfc41-01f2-4b1a-80a8-f6479c50c02e/connections-sports-edition-6859.jpg?auto=webp&fit=crop&height=675&width=1200,2025-10-27T20:00:05Z,CNET,https://www.cnet.com,en,us,"Today's NYT Connections: Sports Edition Hints, Answers for Oct. 28 #400. Here's today's Connections: Sports Edition answer and hints for groups. These clues will help you solve The New York Times' popular puzzle game, Connections: Sports Edition, every day.. Looking for the most recent regular Connections answers? Click here for today's Connections hints, as well as our daily answers and hints for The New York Times Mini Crossword, Wordle and Strands puzzles.
Today's Connections: Sports Edition is an all... [1728 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","sports, health, video"
Arlington Asian American Native Hawaiian and Pacific Islander Month,"WJLA is the local ABC affiliate for the greater Washington DC area. From our studios in Arlington, VA ABC7 covers national and local news, sports, weather, traffic and culture and carries entertainment and sports programming. WJLA serves Alexandria, Springfield, Annandale, Tysons, Reston, Ashburn, Centreville and Manassas, Virginia and Bethesda, Rockville, Gaithersburg, Silver Spring, Wheaton, Beltsville, Greenbelt, Bowie, College Park, Largo, Crofton, Annapolis, Hyattsville and Takoma Park, Maryland, and all the communities in between.","2 years ago
NPS official explains importance of DC's Japanese American Memorial to Patriotism
7News talks to a National Park Service official about the Japanese American Memorial to Patriotism During World War II in D.C.
2 years ago
How the FBI is re... [435 chars]",https://wjla.com/features/asian-american-native-hawaiian-and-pacific-islander-month,https://wjla.com/resources/assets/wjla/images/brand-icons/WJLA-16x9.jpg,2025-10-27T19:51:56Z,WJLA,https://wjla.com,en,us,"Arlington Asian American Native Hawaiian and Pacific Islander Month. WJLA is the local ABC affiliate for the greater Washington DC area. From our studios in Arlington, VA ABC7 covers national and local news, sports, weather, traffic and culture and carries entertainment and sports programming. WJLA serves Alexandria, Springfield, Annandale, Tysons, Reston, Ashburn, Centreville and Manassas, Virginia and Bethesda, Rockville, Gaithersburg, Silver Spring, Wheaton, Beltsville, Greenbelt, Bowie, College Park, Largo, Crofton, Annapolis, Hyattsville and Takoma Park, Maryland, and all the communities in between.. 2 years ago
NPS official explains importance of DC's Japanese American Memorial to Patriotism
7News talks to a National Park Service official about the Japanese American Memorial to Patriotism During World War II in D.C.
2 years ago
How the FBI is re... [435 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","weather, travel, video"
"Sports on TV for Tuesday, Oct. 28","Here's what to watch on Tuesday, Oct. 28.","Sports on TV
COLLEGE FIELD HOCKEY
6 p.m.: Maryland at Virginia, ACCN
COLLEGE FOOTBALL
8 p.m.: James Madison at Texas St., ESPN2
8 p.m.: UTEP at Kennesaw St., ESPNU
COLLEGE GOLF
3 p.m.: The 2025 East Lake Cup: Second Round, East Lake Golf Club, Atlant... [1013 chars]",https://www.baltimoresun.com/2025/10/27/sports-on-tv-for-tuesday-oct-27/,https://www.baltimoresun.com/wp-content/uploads/2025/10/CTC-Z-LAD-TBJ.jpg?w=1024&h=682,2025-10-27T19:45:33Z,Baltimore Sun,https://www.baltimoresun.com,en,us,"Sports on TV for Tuesday, Oct. 28. Here's what to watch on Tuesday, Oct. 28.. Sports on TV
COLLEGE FIELD HOCKEY
6 p.m.: Maryland at Virginia, ACCN
COLLEGE FOOTBALL
8 p.m.: James Madison at Texas St., ESPN2
8 p.m.: UTEP at Kennesaw St., ESPNU
COLLEGE GOLF
3 p.m.: The 2025 East Lake Cup: Second Round, East Lake Golf Club, Atlant... [1013 chars]","entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","sports, tv, news"
"Compass Point Still Bullish on Robinhood, Citing Prediction Market Growth","Professional sports are emerging as a notable tailwind for Robinhood as the firm’s prediction market offering grows, says Compass Point.","In brief
Compass Point expects that Robinhood will report that revenue generated from prediction markets grew at a faster rate than revenue derived from processing customers’ transactions.
Robinhood began letting customers wager on NFL and college fo... [3415 chars]",https://decrypt.co/346154/compass-point-bullish-robinhood-prediction-market-growth,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2025/05/robinhood-decrypt-style-01-gID_7.png,2025-10-27T19:34:59Z,Decrypt,https://decrypt.co,en,us,"Compass Point Still Bullish on Robinhood, Citing Prediction Market Growth. Professional sports are emerging as a notable tailwind for Robinhood as the firm’s prediction market offering grows, says Compass Point.. In brief
Compass Point expects that Robinhood will report that revenue generated from prediction markets grew at a faster rate than revenue derived from processing customers’ transactions.
Robinhood began letting customers wager on NFL and college fo... [3415 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","finance, sports, video"
Narduzzi excoriates NCAA for allowing athletes to bet on pro sports,"Earlier in October, an NCAA committee voted to allow collegiate athletes to place wagers on pro sports starting on Nov. 1.","Pitt football coach Pat Narduzzi has thoughts on the NCAA allowing its athletes to bet on pro sports; during his regularly scheduled Monday news conference, he didn't hold back.
Earlier in October, an NCAA committee voted to allow collegiate athletes... [1550 chars]",https://www.yardbarker.com/college_football/articles/pitts_pat_narduzzi_excoriates_ncaa_for_allowing_athletes_to_bet_on_pro_sports/s1_13132_42970543,https://www.yardbarker.com/media/8/4/84ceb972338767bfb229791310af11370196e417/thumb_16x9/narduzzi-excoriates-ncaa-allowing-athletes-bet-on.jpg?v=1,2025-10-27T19:31:36Z,Yardbarker,https://www.yardbarker.com,en,us,"Narduzzi excoriates NCAA for allowing athletes to bet on pro sports. Earlier in October, an NCAA committee voted to allow collegiate athletes to place wagers on pro sports starting on Nov. 1.. Pitt football coach Pat Narduzzi has thoughts on the NCAA allowing its athletes to bet on pro sports; during his regularly scheduled Monday news conference, he didn't hold back.
Earlier in October, an NCAA committee voted to allow collegiate athletes... [1550 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","sports, video, news"
"Today's top games to watch, best bets, odds: Blue Jays at Dodgers Game 3, Commanders at Chiefs, NBA and more",Find best bets and props for the biggest games in sports on Monday from the SportsLine Projection Model and top CBS Sports experts,"A 2-1 lead in the 2025 World Series will be on the line when the Toronto Blue Jays and Los Angeles Dodgers collide in Game 3 on Monday night at Dodger Stadium. In Game 1 on Friday, the Blue Jays scored nine runs in the sixth inning, including a pinch... [6755 chars]",https://www.cbssports.com/betting/news/todays-top-games-to-watch-best-bets-odds-blue-jays-at-dodgers-game-3-commanders-at-chiefs-nba-and-more/,https://sportshub.cbsistatic.com/i/r/2025/07/21/fa98528d-8779-4593-9677-5bb8c0fe8eb5/thumbnail/1200x675/2da3a655fd7694c6e53cdf198577e8f8/george-springer-imagn.jpg,2025-10-27T19:30:32Z,CBS Sports,https://www.cbssports.com,en,us,"Today's top games to watch, best bets, odds: Blue Jays at Dodgers Game 3, Commanders at Chiefs, NBA and more. Find best bets and props for the biggest games in sports on Monday from the SportsLine Projection Model and top CBS Sports experts. A 2-1 lead in the 2025 World Series will be on the line when the Toronto Blue Jays and Los Angeles Dodgers collide in Game 3 on Monday night at Dodger Stadium. In Game 1 on Friday, the Blue Jays scored nine runs in the sixth inning, including a pinch... [6755 chars]","entertainment, finance, movies, music, sports, travel, tv, video, weather","sports, tv, movies"
Cody ‘Beef’ Franke’s Health: What Happened to Him Before His Death?,"Cody 'Beef' Franke, a Barstool Sports golf influencer, suddenly died at the age of 31 in October 2025. Here's what we know about his health.","The Barstool Sports family lost a member of its community. Cody “Beef” Franke, best known for sharing his pro golf tips to social media, died earlier this month, the “Fore Play” podcast announced on October 27, 2025. He was just 31. Though no cause o... [2002 chars]",https://hollywoodlife.com/feature/code-beef-franke-health-before-death-5482644/,https://hollywoodlife.com/wp-content/uploads/2025/10/Screenshot-2025-10-27-at-3.03.11 PM-1-e1761591871878.png?fit=902%2C511,2025-10-27T19:28:06Z,HollywoodLife,https://hollywoodlife.com,en,us,"Cody ‘Beef’ Franke’s Health: What Happened to Him Before His Death?. Cody 'Beef' Franke, a Barstool Sports golf influencer, suddenly died at the age of 31 in October 2025. Here's what we know about his health.. The Barstool Sports family lost a member of its community. Cody “Beef” Franke, best known for sharing his pro golf tips to social media, died earlier this month, the “Fore Play” podcast announced on October 27, 2025. He was just 31. Though no cause o... [2002 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","health, lifestyle, news"
"Pistons coach speaks out on Chauncey Billups, warns about sports gambling","Detroit's head coach is close with the former Pistons guard and is ""here to support him.""","DETROIT — With the NBA on high alert following the recent indictments surrounding sports gambling, Pistons coach J.B. Bickerstaff is telling his players to be conscious of what they’re sharing and who they’re sharing it with outside the organization.... [3214 chars]",https://www.mlive.com/pistons/2025/10/pistons-coach-speaks-out-on-chauncey-billups-warns-about-sports-gambling.html,https://www.mlive.com/resizer/v2/ZTM3VIC3CZDR3DPDTQG76JYHBY.JPG?auth=2f90d374efc8842ad2dc1a593fda24c59ba1a0e9180ce7a959328dc30dc5857b&width=1280&smart=true&quality=90,2025-10-27T19:27:28Z,M Live Michigan ,https://www.mlive.com,en,us,"Pistons coach speaks out on Chauncey Billups, warns about sports gambling. Detroit's head coach is close with the former Pistons guard and is ""here to support him."". DETROIT — With the NBA on high alert following the recent indictments surrounding sports gambling, Pistons coach J.B. Bickerstaff is telling his players to be conscious of what they’re sharing and who they’re sharing it with outside the organization.... [3214 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video","sports, video, health"
Barstool Sports' 'Beef' Dies at 31; Tributes Pour In From Golf World,"Barstool Sports personality and “Fore Play” contributor Cody “Beef” Franke, who was widely known across the golf world, died suddenly over the weekend, the company announced Oct. 27. He was 31.Shortly after news of Franke’s death surfaced, golf influencers, creators and analysts reacted with shock and offered touching tributes to the former PGA professional.Barstool Sports […]","Barstool Sports personality and “Fore Play” contributor Cody “Beef” Franke, who was widely known across the golf world, died suddenly over the weekend, the company announced Oct. 27. He was 31.
Shortly after news of Franke’s death surfaced, golf infl... [2789 chars]",https://heavy.com/sports/golf/barstool-beef-fore-play-dies-tributes/,https://heavy.com/wp-content/uploads/2025/10/GettyImages-1575045654-e1761592550885.jpg?quality=65&strip=all,2025-10-27T19:18:20Z,Heavy.,https://heavy.com,en,us,"Barstool Sports' 'Beef' Dies at 31; Tributes Pour In From Golf World. Barstool Sports personality and “Fore Play” contributor Cody “Beef” Franke, who was widely known across the golf world, died suddenly over the weekend, the company announced Oct. 27. He was 31.Shortly after news of Franke’s death surfaced, golf influencers, creators and analysts reacted with shock and offered touching tributes to the former PGA professional.Barstool Sports […]. Barstool Sports personality and “Fore Play” contributor Cody “Beef” Franke, who was widely known across the golf world, died suddenly over the weekend, the company announced Oct. 27. He was 31.
Shortly after news of Franke’s death surfaced, golf infl... [2789 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","news, video, sports"
Barstool Sports Golf Creator Cody 'Beef' Franke Dies at 31; Golf World Mourns,"Barstool Sports personality and “Foreplay” contributor Cody “Beef” Franke died suddenly over the weekend, the company announced Oct. 27. He was 31. Shortly after news of Franke’s death surfaced, golf influencers, creators and analysts reacted with shock and offered touching tributes to the former PGA professional. Barstool Sports hired Franke in early 2025 as the […]","Barstool Sports personality and “Foreplay” contributor Cody “Beef” Franke died suddenly over the weekend, the company announced Oct. 27. He was 31.
Shortly after news of Franke’s death surfaced, golf influencers, creators and analysts reacted with sh... [775 chars]",https://heavy.com/sports/golf/barstool-sports-golf-creator-cody-beef-franke-dies-at-31-golf-world-mourns/,https://heavy.com/wp-content/uploads/2025/10/GettyImages-1575045654-e1761592550885.jpg?quality=65&strip=all,2025-10-27T19:18:20Z,Heavy.,https://heavy.com,en,us,"Barstool Sports Golf Creator Cody 'Beef' Franke Dies at 31; Golf World Mourns. Barstool Sports personality and “Foreplay” contributor Cody “Beef” Franke died suddenly over the weekend, the company announced Oct. 27. He was 31. Shortly after news of Franke’s death surfaced, golf influencers, creators and analysts reacted with shock and offered touching tributes to the former PGA professional. Barstool Sports hired Franke in early 2025 as the […]. Barstool Sports personality and “Foreplay” contributor Cody “Beef” Franke died suddenly over the weekend, the company announced Oct. 27. He was 31.
Shortly after news of Franke’s death surfaced, golf influencers, creators and analysts reacted with sh... [775 chars]","autos, entertainment, finance, foodanddrink, health, lifestyle, movies, music, news, sports, travel, tv, video, weather","news, video, travel"
